epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0353,1.43453,2.66623,1.46874,0.01919,0.04764,0.03225,0.01016,2.07107,3.65769,2.74958,0.0793,0.0023,0.0023
2,85.7845,1.62462,2.59205,1.66306,0.00218,0.4324,0.00672,0.00099,3.10982,1557.47,15.6517,0.0575139,0.00451388,0.00451388
3,125.05,1.75343,2.51404,1.76827,0.0043,0.35738,0.00474,0.00115,3.17829,1671.25,33.5988,0.0355377,0.00653768,0.00653768
4,159.503,1.65612,2.37288,1.71802,0.25179,0.38925,0.00256,0.00074,4.10244,1884.32,15.9183,0.0133714,0.0083714,0.0083714
5,195.531,1.78451,2.41758,1.78535,0.00025,0.03902,0.00014,2e-05,3.36889,9.69026,6.71446,0.008416,0.008416,0.008416
6,233.885,1.66676,2.28681,1.67403,0.02654,0.08118,0.03427,0.0085,2.78615,20.2909,3.92914,0.00802,0.00802,0.00802
7,274.179,1.56747,2.15628,1.61177,0.04355,0.31416,0.04512,0.01359,2.2431,6.20759,2.80945,0.007624,0.007624,0.007624
8,311.621,1.49992,2.08341,1.53342,0.08977,0.51452,0.16752,0.05644,1.74677,4.3335,2.0905,0.007228,0.007228,0.007228
9,347.646,1.48964,2.10043,1.52677,0.11087,0.13838,0.10687,0.05479,1.61594,4.65236,1.88453,0.006832,0.006832,0.006832
10,385.33,1.44696,2.00667,1.51878,0.72099,0.18534,0.26062,0.10441,1.51751,4.36368,1.82549,0.006436,0.006436,0.006436
11,428.582,1.39064,1.88288,1.466,0.11205,0.41538,0.19926,0.10669,1.6084,2.75421,1.78805,0.00604,0.00604,0.00604
12,470.194,1.37222,1.91809,1.44455,0.46926,0.38785,0.28319,0.15196,1.47089,1.99105,1.66478,0.005644,0.005644,0.005644
13,516.285,1.38544,1.90348,1.45884,0.19829,0.39718,0.31512,0.16029,1.66526,2.20181,1.78914,0.005248,0.005248,0.005248
14,562.76,1.3428,1.85396,1.43941,0.6469,0.40631,0.44902,0.26365,1.51453,1.88701,1.67336,0.004852,0.004852,0.004852
15,609.68,1.34599,1.80412,1.40719,0.23656,0.57257,0.41352,0.26911,1.44201,2.07221,1.58574,0.004456,0.004456,0.004456
16,662.176,1.25984,1.86983,1.41956,0.31205,0.52269,0.43263,0.29153,1.57782,2.39552,1.62786,0.00406,0.00406,0.00406
17,713.503,1.19331,1.73192,1.36047,0.33258,0.46503,0.39351,0.25489,1.25801,2.07499,1.49315,0.003664,0.003664,0.003664
18,755.461,1.20366,1.65848,1.36557,0.15876,0.40328,0.26649,0.17109,1.37763,2.11192,1.54285,0.003268,0.003268,0.003268
19,795.047,1.15882,1.67355,1.32957,0.22639,0.65287,0.44163,0.28687,1.28241,2.01446,1.52852,0.002872,0.002872,0.002872
20,848.926,1.0781,1.52879,1.27011,0.34742,0.69731,0.4639,0.2971,1.18309,1.79123,1.38981,0.002476,0.002476,0.002476
21,887.687,1.06304,1.51258,1.24001,0.35484,0.62941,0.55485,0.38358,1.2459,1.61142,1.40821,0.00208,0.00208,0.00208
22,931.209,1.02791,1.45669,1.24013,0.47314,0.67824,0.56698,0.40874,1.1174,1.46845,1.28471,0.001684,0.001684,0.001684
23,978.711,0.98455,1.4122,1.18712,0.44995,0.63341,0.53625,0.36086,1.13885,1.48303,1.33614,0.001288,0.001288,0.001288
24,1017.95,1.01484,1.38494,1.21284,0.48648,0.65433,0.59138,0.40305,1.06633,1.41773,1.27469,0.000892,0.000892,0.000892
25,1059.81,0.97793,1.36845,1.17233,0.49,0.65463,0.59441,0.41012,1.02662,1.39934,1.25711,0.000496,0.000496,0.000496
