epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2929,1.42516,2.41417,1.43876,0.01352,0.24974,0.01912,0.00474,2.78657,36.3586,3.70737,0.070625,0.00326389,0.00326389
2,87.6016,1.56906,2.23339,1.53485,0.00716,0.17309,0.0066,0.00185,3.37143,1134.87,13.3642,0.0403638,0.00633597,0.00633597
3,127.365,1.62082,2.19386,1.527,0.0565,0.36899,0.03196,0.01416,2.94947,18.4297,3.90963,0.0098385,0.00914406,0.00914406
4,166.009,1.54128,2.13085,1.50008,0.06171,0.16761,0.02327,0.01253,2.31142,6.39701,2.30262,0.008812,0.008812,0.008812
5,204.611,1.47308,2.00452,1.46792,0.16706,0.23658,0.04965,0.02346,1.8187,5.79892,2.02272,0.008416,0.008416,0.008416
6,243.653,1.38183,1.87941,1.39041,0.09322,0.07804,0.04038,0.01955,2.14388,5.37032,2.59513,0.00802,0.00802,0.00802
7,287.937,1.36781,1.85495,1.38042,0.40735,0.19011,0.21876,0.11713,1.57538,2.73717,1.49922,0.007624,0.007624,0.007624
8,329.582,1.33674,1.78892,1.37092,0.84345,0.23707,0.36949,0.21848,1.71116,2.7655,1.70443,0.007228,0.007228,0.007228
9,368.488,1.36434,1.77607,1.34827,0.44773,0.25431,0.22281,0.13803,1.90127,2.53376,1.83307,0.006832,0.006832,0.006832
10,411.321,1.25497,1.64947,1.27943,0.31527,0.49884,0.3817,0.23795,1.41976,1.90925,1.41282,0.006436,0.006436,0.006436
11,456.85,1.19723,1.61177,1.28751,0.36736,0.48997,0.41985,0.27667,1.38242,1.94408,1.39193,0.00604,0.00604,0.00604
12,502.818,1.1635,1.53722,1.26068,0.31649,0.65596,0.51392,0.31587,1.38057,1.89687,1.37442,0.005644,0.005644,0.005644
13,558.071,1.23924,1.54704,1.293,0.1761,0.52858,0.32528,0.21407,1.40149,2.20546,1.38427,0.005248,0.005248,0.005248
14,611.354,1.1476,1.54197,1.25633,0.22238,0.57486,0.48309,0.3127,1.46621,2.41043,1.47756,0.004852,0.004852,0.004852
15,667.497,1.10507,1.46519,1.22786,0.80127,0.41425,0.42957,0.29522,1.29612,1.76125,1.33016,0.004456,0.004456,0.004456
16,752.646,1.26549,1.94134,1.34316,0.47934,0.31511,0.42783,0.30891,1.29476,1.83983,1.29092,0.00406,0.00406,0.00406
17,849.777,1.25532,1.81441,1.33037,0.40613,0.517,0.45403,0.31946,1.22231,1.94308,1.28395,0.003664,0.003664,0.003664
18,950.25,1.19531,1.70582,1.26095,0.36771,0.60212,0.47409,0.32523,1.25017,1.75656,1.25656,0.003268,0.003268,0.003268
19,1055.81,1.11979,1.61929,1.2008,0.35248,0.55448,0.49684,0.34646,1.24509,1.68347,1.28436,0.002872,0.002872,0.002872
20,1159.38,1.10207,1.50077,1.1857,0.37463,0.69069,0.50636,0.35381,1.17044,1.48427,1.21207,0.002476,0.002476,0.002476
21,1214.68,1.12044,1.56474,1.21737,0.35497,0.76062,0.50935,0.32289,1.23233,1.48094,1.27197,0.00208,0.00208,0.00208
22,1247.01,1.06367,1.48072,1.17871,0.36255,0.70588,0.49357,0.35034,1.08712,1.43895,1.16999,0.001684,0.001684,0.001684
23,1279.73,1.02182,1.44362,1.14667,0.42695,0.63562,0.56347,0.40781,1.06403,1.41243,1.14823,0.001288,0.001288,0.001288
24,1313.08,1.01653,1.39719,1.15507,0.4902,0.53599,0.54711,0.38204,1.07105,1.4427,1.14207,0.000892,0.000892,0.000892
25,1347.96,0.9818,1.36746,1.1261,0.35575,0.76373,0.57914,0.44461,1.01593,1.36844,1.1089,0.000496,0.000496,0.000496
